,id,Neighbourhoods
0,0,Adalar
1,1,Arnavutkoy
2,2,Atasehir
3,3,Avcilar
4,4,Bagcilar
5,5,Bahcelievler
6,6,Bakirkoy
7,7,Basaksehir
8,8,Bayrampasa
9,9,Besiktas
10,10,Beykoz
11,11,Beylikduzu
12,12,Beyoglu
13,13,Buyukcekmece
14,14,Catalca
15,15,Cekmekoy
16,16,Esenler
17,17,Esenyurt
18,18,Eyup
19,19,Fatih
20,20,Gaziosmanpasa
21,21,Gungoren
22,22,Kadikoy
23,23,Kagithane
24,24,Kartal
25,25,Kucukcekmece
26,26,Maltepe
27,27,Pendik
28,28,Sancaktepe
29,29,Sariyer
30,30,Sile
31,31,Silivri
32,32,Sisli
33,33,Sultanbeyli
34,34,Sultangazi
35,35,Tuzla
36,36,Umraniye
37,37,Uskudar
38,38,Zeytinburnu
