,id,Property Types
0,0,Entire rental unit
1,1,Entire serviced apartment
2,2,Private room in loft
3,3,Entire home
4,4,Private room in rental unit
5,5,Private room in villa
6,6,Private room in serviced apartment
7,7,Entire loft
8,8,Private room in townhouse
9,9,Entire condo
10,10,Private room in home
11,11,Entire cabin
12,12,Room in aparthotel
13,13,Shared room in rental unit
14,14,Private room in condo
15,15,Room in boutique hotel
16,16,Room in serviced apartment
17,17,Entire villa
18,18,Private room in bed and breakfast
19,19,Entire townhouse
20,20,Entire chalet
21,21,Room in hotel
22,22,Entire cottage
23,23,Shared room in hotel
24,24,Tiny home
25,25,Room in bed and breakfast
26,26,Room in hostel
27,27,Private room in hostel
28,28,Shared room in loft
29,29,Entire guest suite
30,30,Private room in guesthouse
31,31,Private room
32,32,Private room in nature lodge
33,33,Boat
34,34,Shared room in hostel
35,35,Entire vacation home
36,36,Private room in farm stay
37,37,Private room in casa particular
38,38,Camper/RV
39,39,Shared room in bed and breakfast
40,40,Casa particular
41,41,Farm stay
42,42,Private room in tiny home
43,43,Room in heritage hotel
44,44,Treehouse
45,45,Entire guesthouse
46,46,Entire place
47,47,Private room in guest suite
48,48,Private room in cave
49,49,Entire bungalow
50,50,Private room in treehouse
51,51,Pension
52,52,Shared room in condo
53,53,Tower
54,54,Private room in cabin
55,55,Shared room in serviced apartment
56,56,Private room in vacation home
57,57,Private room in pension
58,58,Shared room
59,59,Shared room in home
60,60,Dome
61,61,Private room in resort
62,62,Private room in camper/rv
63,63,Island
64,64,Shared room in minsu
65,65,Shared room in ryokan
66,66,Private room in cottage
